"STATION","NAME","DATE","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00190120","AMHERST, MA US","2000-01-01",,"0.00","0.0","0.0","39","15","15"
"USC00190120","AMHERST, MA US","2000-01-02",,"0.00","0.0","0.0","46","15","34"
"USC00190120","AMHERST, MA US","2000-01-03",,"0.04","0.0","0.0","53","32","52"
"USC00190120","AMHERST, MA US","2000-01-04",,"0.21","0.0","0.0","59","38","39"
"USC00190120","AMHERST, MA US","2000-01-05",,"0.40","0.0","0.0","58","28","33"
"USC00190120","AMHERST, MA US","2000-01-06",,"0.00","0.0","0.0","33","13","13"
"USC00190120","AMHERST, MA US","2000-01-07",,"0.00","0.0","0.0","36","11","25"
"USC00190120","AMHERST, MA US","2000-01-08",,"0.00","0.0","0.0","37","21","26"
"USC00190120","AMHERST, MA US","2000-01-09",,"0.00","0.0","0.0","38","22","22"
"USC00190120","AMHERST, MA US","2000-01-10",,"0.01","0.0","0.0","48","21","37"
"USC00190120","AMHERST, MA US","2000-01-11",,"0.90","0.0","0.0","44","35","42"
"USC00190120","AMHERST, MA US","2000-01-12",,"0.00","0.0","0.0","52","27","37"
"USC00190120","AMHERST, MA US","2000-01-13",,"0.03","1.5","2.0","40","20","28"
"USC00190120","AMHERST, MA US","2000-01-14",,"0.11","2.5","3.0","28","5","5"
"USC00190120","AMHERST, MA US","2000-01-15",,"0.00","0.0","2.0","14","-5","0"
"USC00190120","AMHERST, MA US","2000-01-16",,"0.00","0.0","2.0","19","0","16"
"USC00190120","AMHERST, MA US","2000-01-17",,"0.00","0.0","1.0","38","-1","-1"
"USC00190120","AMHERST, MA US","2000-01-18",,"0.00","0.0","1.0","12","-3","-1"
"USC00190120","AMHERST, MA US","2000-01-19",,"0.00","0.0","0.0","15","-3","3"
"USC00190120","AMHERST, MA US","2000-01-20",,"0.00","0.0","0.0","23","2","6"
"USC00190120","AMHERST, MA US","2000-01-21",,"0.06","1.0","1.0","18","5","15"
"USC00190120","AMHERST, MA US","2000-01-22",,"0.00","0.0","1.0","11","-2","0"
"USC00190120","AMHERST, MA US","2000-01-23",,"0.00","0.0","1.0","12","-4","-1"
"USC00190120","AMHERST, MA US","2000-01-24",,"0.00","0.0","0.0","19","-2","19"
"USC00190120","AMHERST, MA US","2000-01-25",,"0.00","0.0","0.0","33","14","22"
"USC00190120","AMHERST, MA US","2000-01-26",,"0.70","6.0","6.0","25","22","23"
"USC00190120","AMHERST, MA US","2000-01-27",,"0.00","0.0","6.0","30","2","10"
"USC00190120","AMHERST, MA US","2000-01-28",,"0.00","0.0","6.0","16","-2","-2"
"USC00190120","AMHERST, MA US","2000-01-29",,"0.00","0.0","6.0","17","-4","-1"
"USC00190120","AMHERST, MA US","2000-01-30",,"0.00","0.0","6.0","33","-4","-4"
"USC00190120","AMHERST, MA US","2000-01-31",,"0.54","3.9","9.0","37","-4","30"
"USC00190120","AMHERST, MA US","2000-02-01",,"0.00","0.0","8.0","37","17","20"
"USC00190120","AMHERST, MA US","2000-02-02",,"0.00","0.0","8.0","36","16","17"
"USC00190120","AMHERST, MA US","2000-02-03",,"0.00","0.0","8.0","22","-1","8"
"USC00190120","AMHERST, MA US","2000-02-04",,"0.03","1.0","9.0","27","7","17"
"USC00190120","AMHERST, MA US","2000-02-05",,"0.00","0.0","9.0","33","9","24"
"USC00190120","AMHERST, MA US","2000-02-06",,"0.00","0.3","9.0","36","19","22"
"USC00190120","AMHERST, MA US","2000-02-07",,"0.00","0.0","7.0","34","15","29"
"USC00190120","AMHERST, MA US","2000-02-08",,"0.00","0.0","7.0","40","3","3"
"USC00190120","AMHERST, MA US","2000-02-09",,"0.00","0.0","7.0","29","2","21"
"USC00190120","AMHERST, MA US","2000-02-10",,"0.00","0.0","6.0","44","15","16"
"USC00190120","AMHERST, MA US","2000-02-11",,"0.03","0.0","6.0","49","14","36"
"USC00190120","AMHERST, MA US","2000-02-12",,"0.05","0.0","6.0","39","9","15"
"USC00190120","AMHERST, MA US","2000-02-13",,"0.00","0.0","5.0","35","3","6"
"USC00190120","AMHERST, MA US","2000-02-14",,"0.68","0.5","5.0","35","5","34"
"USC00190120","AMHERST, MA US","2000-02-15",,"0.68","0.0","4.0","40","4","29"
"USC00190120","AMHERST, MA US","2000-02-16",,"0.06","1.0","5.0","38","13","25"
"USC00190120","AMHERST, MA US","2000-02-17",,"0.00","0.0","4.0","42","17","19"
"USC00190120","AMHERST, MA US","2000-02-18",,"0.00","0.0","4.0","28","9","16"
"USC00190120","AMHERST, MA US","2000-02-19",,"0.63","5.5","11.0","27","10","15"
"USC00190120","AMHERST, MA US","2000-02-20",,"0.12","1.0","9.0","34","23","29"
"USC00190120","AMHERST, MA US","2000-02-21",,"0.00","0.3","8.0","38","19","25"
"USC00190120","AMHERST, MA US","2000-02-22",,"0.00","0.0","6.0","43","8","13"
"USC00190120","AMHERST, MA US","2000-02-23",,"0.00","0.0","6.0","47","12","27"
"USC00190120","AMHERST, MA US","2000-02-24",,"0.00","0.0","5.0","53","22","37"
"USC00190120","AMHERST, MA US","2000-02-25",,"0.12","0.0","3.0","60","36","42"
"USC00190120","AMHERST, MA US","2000-02-26",,"0.48","0.0","3.0","43","33","34"
"USC00190120","AMHERST, MA US","2000-02-27",,"0.02","0.0","2.0","37","34","35"
"USC00190120","AMHERST, MA US","2000-02-28",,"0.48","0.0","0.0","53","34","43"
"USC00190120","AMHERST, MA US","2000-02-29",,"0.02","0.0","0.0","47","34","35"
"USC00190120","AMHERST, MA US","2000-03-01",,"0.00","0.0","0.0","51","24","28"
"USC00190120","AMHERST, MA US","2000-03-02",,"0.00","0.0","0.0","49","25","38"
"USC00190120","AMHERST, MA US","2000-03-03",,"0.00","0.0","0.0","44","31","35"
"USC00190120","AMHERST, MA US","2000-03-04",,"0.00","0.0","0.0","41","26","34"
"USC00190120","AMHERST, MA US","2000-03-05",,"0.00","0.0","0.0","47","28","35"
"USC00190120","AMHERST, MA US","2000-03-06",,"0.00","0.0","0.0","48","25","28"
"USC00190120","AMHERST, MA US","2000-03-07",,"0.00","0.0","0.0","49","22","27"
"USC00190120","AMHERST, MA US","2000-03-08",,"0.00","0.0","0.0","65","26","38"
"USC00190120","AMHERST, MA US","2000-03-09",,"0.00","0.0","0.0","61","37","42"
"USC00190120","AMHERST, MA US","2000-03-10",,"0.11","0.0","0.0","65","38","38"
"USC00190120","AMHERST, MA US","2000-03-11",,"0.00","0.0","0.0","46","34","33"
"USC00190120","AMHERST, MA US","2000-03-12",,"1.94","1.1","1.0","38","32","35"
"USC00190120","AMHERST, MA US","2000-03-13",,"0.23","0.0","1.0","39","23","29"
"USC00190120","AMHERST, MA US","2000-03-14",,"0.00","0.0","0.0","39","22","27"
"USC00190120","AMHERST, MA US","2000-03-15",,"0.00","0.0","0.0","51","26","33"
"USC00190120","AMHERST, MA US","2000-03-16",,"0.00","0.0","0.0","61","32","49"
"USC00190120","AMHERST, MA US","2000-03-17",,"0.91","0.0","0.0","69","32","32"
"USC00190120","AMHERST, MA US","2000-03-18",,"0.04","1.2","1.0","32","15","24"
"USC00190120","AMHERST, MA US","2000-03-19",,"0.00","0.0","0.0","37","20","23"
"USC00190120","AMHERST, MA US","2000-03-20",,"0.00","0.0","0.0","46","23","31"
"USC00190120","AMHERST, MA US","2000-03-21",,"0.00","0.0","0.0","49","27","37"
"USC00190120","AMHERST, MA US","2000-03-22",,"0.00","0.0","0.0","48","36","42"
"USC00190120","AMHERST, MA US","2000-03-23",,"0.00","0.0","0.0","54","27","33"
"USC00190120","AMHERST, MA US","2000-03-24",,"0.00","0.0","0.0","67","28","38"
"USC00190120","AMHERST, MA US","2000-03-25",,"0.00","0.0","0.0","67","28","41"
"USC00190120","AMHERST, MA US","2000-03-26",,"0.03","0.0","0.0","62","29","47"
"USC00190120","AMHERST, MA US","2000-03-27",,"0.00","0.0","0.0","61","28","35"
"USC00190120","AMHERST, MA US","2000-03-28",,"0.45","0.0","0.0","59","35","54"
"USC00190120","AMHERST, MA US","2000-03-29",,"0.11","0.0","0.0","58","37","46"
"USC00190120","AMHERST, MA US","2000-03-30",,"0.00","0.0","0.0","55","41","42"
"USC00190120","AMHERST, MA US","2000-03-31",,"0.00","0.0","0.0","50","25","35"
"USC00190120","AMHERST, MA US","2000-04-01",,"0.00","0.0","0.0","51","25","41"
"USC00190120","AMHERST, MA US","2000-04-02",,"0.00","0.0","0.0","63","37","40"
"USC00190120","AMHERST, MA US","2000-04-03",,"0.00","0.0","0.0","64","39","50"
"USC00190120","AMHERST, MA US","2000-04-04",,"0.52","0.0","0.0","55","48","52"
"USC00190120","AMHERST, MA US","2000-04-05",,"0.18","0.0","0.0","62","38","39"
"USC00190120","AMHERST, MA US","2000-04-06",,"0.00","0.0","0.0","44","31","34"
"USC00190120","AMHERST, MA US","2000-04-07",,"0.02","0.0","0.0","59","33","47"
"USC00190120","AMHERST, MA US","2000-04-08",,"0.00","0.0","0.0","63","47","51"
"USC00190120","AMHERST, MA US","2000-04-09",,"0.77","0.0","0.0","73","32","42"
"USC00190120","AMHERST, MA US","2000-04-10",,"0.19","0.0","0.0","42","28","37"
"USC00190120","AMHERST, MA US","2000-04-11",,"0.00","0.0","0.0","48","26","29"
"USC00190120","AMHERST, MA US","2000-04-12",,"0.08","0.0","0.0","47","27","38"
"USC00190120","AMHERST, MA US","2000-04-13",,"0.00","0.0","0.0","43","25","29"
"USC00190120","AMHERST, MA US","2000-04-14",,"0.00","0.0","0.0","50","27","30"
